Subject,Start Date,Start Time,End Date,End Time,Description,Location
cwi - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,15/11/2018,15:20,15/11/2018,17:00,dr Emerling Izabela,undefined
wyk - Aula A,16/11/2018,08:00,16/11/2018,09:40,dr Jarczok-Guzy Magdalena,213 B
wyk - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,16/11/2018,09:50,16/11/2018,11:30,dr Ciupek Bozena,411 A
cwi - Aula A,16/11/2018,11:40,16/11/2018,13:20,mgr Swiatek L「kasz,undefined
cwi - Instrumenty opodatkowania bezposredniego ludnosci i podmiotow gospodarczych,16/11/2018,15:20,16/11/2018,17:00,dr Emerling Izabela,undefined
"undefined - Projekt: ""Blisko-Miedzynarodowo-Przez cale zycie,20/11/2018,08:00,20/11/2018,18:50,n/z n/z,n/z"
wyk - Aula A,21/11/2018,08:00,21/11/2018,09:40,prof. dr hab. Buk Halina,233 F
wyk - Sprawozdawczosc finansowa,21/11/2018,09:50,21/11/2018,11:30,prof. dr hab. Buk Halina,412 A
wyk - Analiza finansowa,21/11/2018,11:40,21/11/2018,13:20,prof. dr hab. Harasim Janina,undefined
wyk - Aula A,21/11/2018,13:30,21/11/2018,15:10,dr Poniatowska Lucyna,undefined
cwi - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,22/11/2018,13:30,22/11/2018,15:10,mgr Sygut Edyta,214 B
cwi - Sprawozdawczosc finansowa,22/11/2018,15:20,22/11/2018,17:00,dr Emerling Izabela,227 A
wyk - Aula A,23/11/2018,08:00,23/11/2018,09:40,dr Jarczok-Guzy Magdalena,213 B
wyk - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,23/11/2018,09:50,23/11/2018,11:30,dr Ciupek Bozena,undefined
cwi - Aula A,23/11/2018,11:40,23/11/2018,13:20,mgr Swiatek L「kasz,undefined
wyk - Prawo instrumentow finansowych,26/11/2018,15:20,26/11/2018,17:00,prof. UE dr hab. Witosz Aleksander,228 A
"undefined - Projekt: ""Blisko-Miedzynarodowo-Przez cale zycie,27/11/2018,08:00,27/11/2018,18:50,n/z n/z,n/z"
wyk - Aula A,28/11/2018,08:00,28/11/2018,09:40,prof. dr hab. Buk Halina,412 A
wyk - Sprawozdawczosc finansowa,28/11/2018,09:50,28/11/2018,11:30,prof. dr hab. Buk Halina,335 A
wyk - Aula @,28/11/2018,11:40,28/11/2018,13:20,prof. dr hab. Harasim Janina,335 A
wyk - Analiza finansowa,28/11/2018,13:30,28/11/2018,15:10,prof. UE dr hab. Koczur Wieslaw,undefined
