Subject,Start Date,Start Time,End Date,End Time,Description,Location
sem - Seminarium dyplomowe dr Aleksandra Lubicz-Posochowska, 19/12/2018, 15:20, 19/12/2018, 17:00, dr Lubicz-Posochowska Aleksandra - SD, Katedra -
sem - Seminarium dyplomowe dr Łukasz Szewczyk, 19/12/2018, 15:20, 19/12/2018, 17:00, dr Szewczyk Łukasz - SD, Katedra -
Ćwi - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 20/12/2018, 13:30, 20/12/2018, 15:10, mgr Sygut Edyta - RPS, 214 B
Ćwi - Sprawozdawczość finansowa, 20/12/2018, 15:20, 20/12/2018, 17:00, dr Emerling Izabela - RPS, 227 A
sem - Seminarium dyplomowe dr Jolanta Gałuszka, 20/12/2018, 17:10, 20/12/2018, 18:50, dr Gałuszka Jolanta - SD, Katedra -
sem - Seminarium dyplomowe dr Magdalena Jarczok-Guzy, 20/12/2018, 17:10, 20/12/2018, 18:50, dr Jarczok-Guzy Magdalena - SD, Katedra -
wyk - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 21/12/2018, 08:00, 21/12/2018, 09:40, dr Jarczok-Guzy Magdalena - RPS, Aula A
wyk - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 21/12/2018, 09:50, 21/12/2018, 11:30, dr Ciupek Bożena - RPS, Aula A
Ćwi - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 21/12/2018, 11:40, 21/12/2018, 13:20, mgr Świętek Łukasz - RPS, 213 B
wyk - Prawo instrumentów finansowych, 07/01/2019, 15:20, 07/01/2019, 17:00, prof. UE dr hab. Witosz Aleksander - PSW, 228 A
inne - Projekt: "Blisko-Międzynarodowo-Przez całe życie", 08/01/2019, 08:00, 08/01/2019, 18:50, prof. dr hab. Buk Halina, n/z
wyk - Sprawozdawczość finansowa, 09/01/2019, 08:00, 09/01/2019, 09:40, prof. dr hab. Buk Halina - RPS, Aula A
wyk - Analiza finansowa, 09/01/2019, 09:50, 09/01/2019, 11:30, prof. dr hab. Buk Halina - RPS, Aula @
wyk - Finanse międzynarodowe, 09/01/2019, 11:40, 09/01/2019, 13:20, prof. dr hab. Harasim Janina - RPS, Aula A
wyk - Dodatkowe ubezpieczenia emerytalne, 09/01/2019, 13:30, 09/01/2019, 15:10, prof. UE dr hab. Koczur Wiesław - PSW, 412 A
wyk - Podstawy audytu wewnętrznego, 09/01/2019, 15:20, 09/01/2019, 17:00, prof. UE dr hab. Pfaff Józef - PSW, 335 A
wyk - Prawo reklamy, 10/01/2019, 09:50, 10/01/2019, 11:30, dr Lubicz-Posochowska Aleksandra - PSW, Aula B
wyk - Planowanie finansowe, 10/01/2019, 11:40, 10/01/2019, 13:20, dr Kozłowska-Makóś Danuta - PSW, 418 A
